Sex,Age,Pclass,Survived,Family,Fare,Embarked
Turja Miss. Anna Sofia,female,18,3,1,0,9.84,S
Johanson Mr. Jakob Alfred,male,34,3,0,0,6.5,S
Davison Mrs. Thomas Henry (Mary E Finck),female,,3,1,1,16.1,S
Greenfield Mr. William Bertram,male,23,1,1,0,63.36,C
Baclini Miss. Eugenie,female,1,3,1,2,19.26,C
Ryerson Miss. Susan Parker,female,21,1,1,2,262.38,C
Hogeboom Mrs. John C (Anna Andrews),female,51,1,1,1,77.96,S
Vanden Steen Mr. Leo Peter,male,28,3,0,0,9.5,S
Baclini Miss. Marie Catherine,female,5,3,1,2,19.26,C
Nicholson Mr. Arthur Ernest,male,64,1,0,0,26,S
